full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
Aaron Cresswell,32,12/15/1989,Premier League,Defender,West Ham United,England,MALE
Aaron Lennon,35,4/16/1987,Premier League,Midfielder,Burnley,England,MALE
Aaron Mooy,32,9/15/1990,Premier League,Midfielder,Huddersfield Town,Australia,MALE
Aaron Ramsey,31,12/26/1990,Premier League,Midfielder,Arsenal,Wales,MALE
Aaron Rowe,22,9/7/2000,Premier League,Forward,Huddersfield Town,England,MALE
Aaron Wan-Bissaka,24,11/26/1997,Premier League,Midfielder,Crystal Palace,England,MALE
Abdelhamid Sabiri,25,11/28/1996,Premier League,Midfielder,Huddersfield Town,Morocco,MALE
Abdoulaye Doucouré,29,1/1/1993,Premier League,Midfielder,Watford,France,MALE
Aboubakar Kamara,27,3/7/1995,Premier League,Forward,Fulham,France,MALE
Adalberto Peñaranda Maestre,25,5/31/1997,Premier League,Forward,Watford,Venezuela,MALE
Adam Lallana,34,5/10/1988,Premier League,Midfielder,Liverpool,England,MALE
Adam Masina,28,1/2/1994,Premier League,Defender,Watford,Italy,MALE
Adam Smith,31,4/29/1991,Premier League,Defender,AFC Bournemouth,England,MALE
Adama Diakhaby,26,7/5/1996,Premier League,Forward,Huddersfield Town,France,MALE
Adama Traoré,26,1/25/1996,Premier League,Midfielder,Wolverhampton Wanderers,Spain,MALE
Ademola Lookman,25,10/20/1997,Premier League,Forward,Everton,England,MALE
Adrián,35,1/3/1987,Premier League,Goalkeeper,West Ham United,Spain,MALE
Adrian Mariappa,36,10/3/1986,Premier League,Defender,Watford,Jamaica,MALE
Adrien Sebastian Perruchet Silva,33,3/15/1989,Premier League,Midfielder,Leicester City,Portugal,MALE
Ainsley Maitland-Niles,25,8/29/1997,Premier League,Midfielder,Arsenal,England,MALE
Alberto Moreno,30,7/5/1992,Premier League,Defender,Liverpool,Spain,MALE
Aleksandar Mitrovi?,28,9/16/1994,Premier League,Forward,Fulham,Serbia,MALE
Alex Iwobi,26,5/3/1996,Premier League,Forward,Arsenal,Nigeria,MALE
Alex McCarthy,32,12/3/1989,Premier League,Goalkeeper,Southampton,England,MALE
Alex Oxlade-Chamberlain,29,8/15/1993,Premier League,Midfielder,Liverpool,England,MALE
Alex Pritchard,29,5/3/1993,Premier League,Midfielder,Huddersfield Town,England,MALE
Alex Smithies,32,3/5/1990,Premier League,Goalkeeper,Cardiff City,England,MALE
Alexander Sørloth,26,12/5/1995,Premier League,Forward,Crystal Palace,Norway,MALE
Alexandre Lacazette,31,5/28/1991,Premier League,Forward,Arsenal,France,MALE
Alexandre Nascimento Costa Silva,25,3/16/1997,Premier League,Forward,West Ham United,Portugal,MALE
Alexis Sanchez,33,12/19/1988,Premier League,Forward,Manchester United,Chile,MALE
Alfie Jones,25,10/7/1997,Premier League,Defender,Southampton,England,MALE
Alfie Mawson,28,1/19/1994,Premier League,Defender,Fulham,England,MALE
Alfie Whiteman,24,10/2/1998,Premier League,Goalkeeper,Tottenham Hotspur,England,MALE
Ali Koiki,22,8/22/2000,Premier League,Defender,Burnley,England,MALE
Alireza Jahanbakhsh,29,8/11/1993,Premier League,Forward,Brighton & Hove Albion,Iran,MALE
Alisson Becker,30,10/2/1992,Premier League,Goalkeeper,Liverpool,Brazil,MALE
Alvaro Morata,30,10/23/1992,Premier League,Forward,Chelsea,Spain,MALE
Ander Herrera,33,8/14/1989,Premier League,Midfielder,Manchester United,Spain,MALE
André Gomes,29,7/30/1993,Premier League,Midfielder,Everton,Portugal,MALE
Andre Gray,31,6/26/1991,Premier League,Forward,Watford,England,MALE
André Schürrle,31,11/6/1990,Premier League,Midfielder,Fulham,Germany,MALE
André-Frank Zambo Anguissa,26,11/16/1995,Premier League,Midfielder,Fulham,Cameroon,MALE
Andreas Christensen,26,4/10/1996,Premier League,Defender,Chelsea,Denmark,MALE
Andreas Pereira,26,1/1/1996,Premier League,Midfielder,Manchester United,Brazil,MALE
Andrew Robertson,28,3/11/1994,Premier League,Defender,Liverpool,Scotland,MALE
Andrew Surman,36,8/20/1986,Premier League,Midfielder,AFC Bournemouth,England,MALE
Andriy Yarmolenko,33,10/23/1989,Premier League,Forward,West Ham United,Ukraine,MALE
Andros Townsend,31,7/16/1991,Premier League,Midfielder,Crystal Palace,England,MALE
Andy Carroll,33,1/6/1989,Premier League,Forward,West Ham United,England,MALE
Angel Gomes,22,8/31/2000,Premier League,Midfielder,Manchester United,England,MALE
Angelo Ogbonna,34,5/23/1988,Premier League,Defender,West Ham United,Italy,MALE
Angus Gunn,26,1/22/1996,Premier League,Goalkeeper,Southampton,England,MALE
Anthony Driscoll-Glennon,22,11/26/1999,Premier League,Defender,Burnley,England,MALE
Anthony Knockaert,30,11/20/1991,Premier League,Midfielder,Brighton & Hove Albion,France,MALE
Anthony Martial,26,12/5/1995,Premier League,Forward,Manchester United,France,MALE
Antonio Barreca,27,3/18/1995,Premier League,Defender,Newcastle United,Italy,MALE
Antonio Rüdiger,29,3/3/1993,Premier League,Defender,Chelsea,Germany,MALE
Antonio Valencia,37,8/4/1985,Premier League,Defender,Manchester United,Ecuador,MALE
Arijanet Muric,23,11/7/1998,Premier League,Goalkeeper,Manchester City,Montenegro,MALE
Aron Einar Gunnarsson,33,4/22/1989,Premier League,Midfielder,Cardiff City,Iceland,MALE
Arthur Masuaku,28,11/7/1993,Premier League,Defender,West Ham United,France,MALE
Artur Boruc,42,2/20/1980,Premier League,Goalkeeper,AFC Bournemouth,Poland,MALE
